NÚMERO CONVÊNIO,NOME MUNICÍPIO,OBJETO DO CONVÊNIO,NOME ÓRGÃO SUPERIOR
700326,FORTALEZA,Apoiar os Nucleos de Excelencia do Estado do Ceara (Programa PRONEX),"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
700831,FORTALEZA,Universalizar o acesso da banda larga com a instalacao de rede sem fio para democratizacao do acesso a Internet no Estado do Ceara.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
701060,JOAO PESSOA,"Ampliao da infraestrutura da Estao Cabo Branco ? Cincia, Cultura e Artes e aquisio de equipamentos museogrficos.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
701447,SALVADOR,"Implantacao do TecnoVia - Parque Tecnologico de Salvador-Bahia, atraves da construcao de equipamentos dinamizadores e do fortalecimento das redes atraves de projetos estruturantes para as areas prioritarias do projeto.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
702045,BELO HORIZONTE,Estruturacao do Programa VERdeMINAS,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
703905,SAO PAULO,"Alocacao de recursos para execucao do projeto INCT de Estudos do Meio Ambiente, processo CNPq no 573667/2008-0, coordenado por Claudio Augusto Oller do Nascimento, aprovado no ambito do Programa Institutos Nacionais de Ciencia e Tecnologia Programa INCT.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
704272,BELO HORIZONTE,"Alocacao de recursos para execucao do projeto INCT de Nanomateriais de carbono, processo CNPq no 574020/2008-0 coordenado por Marcos Assuncao Pimenta, aprovado no ambito do programa institutos nacionais de ciencia e tecnologia-programa INCT.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
704622,VICOSA,"Alocacao de recursos para execucao do projeto INCT em Interacoes Planta-Praga, processo CNPq no 573600/2008-2, coordenado por Elizabeth Pacheco Batista Fontes, aprovado no ambito do Programa Institutos Nacionais de Ciencia e Tecnlogia - Programa INCTDurante os ultimos anos, os avancos significativos no conhecimento dos aspectos moleculares nas interacoesplanta-praga tem levado a uma expansao nas estrategias potenciai","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
705018,SAO PAULO,"Alocacao de recursos para execucao do projeto INCT do Bioetanol, processo CNPq no 574002/2008-1, coordenado por Marcos Silveira Buckeridge, aprovado no ambito do Programa Institutos Nacionais de Ciencia e Tecnologia - Programa INCT.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
705118,BELO HORIZONTE,"Alocacao de recursos para a execucao do projeto INCT de Recursos Minerais, Agua e Biodiversidade, processo CNPq no 573945/2008-0, coordenado por Virginia Sampaio Teixeira Ciminelli, aprovado no ambito do Programa Institutos Nacionais de Ciencia e Tecnologia - Programa INCT, criado pela portaria no 429, de 17 de julho de 2008 do Ministerio da Ciencia e Tecnologia, em conformidade com a descricao contida no edital MCT/","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
705774,FORTALEZA,Implantacao de um CVT/CTTC-Centro de Treinamento Tecnico do Ceara,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
719985,FORTALEZA,REVITALIZACAO DA REDE DOS CENTROS VOCACIONAIS TECNOLOGICOS.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
734466,SAO PAULO,Implementar o Nucleo de Estudos Avancados do Mar - UNESP,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
