Row0;aquisicoes e contratacoes;participar do maior encontro nacional de compras publicas nao e apenas se capacitar mas sim se preparar com o mais alto padrao de qualidade aproveitar a presenca dos maiores doutrinadores do pais e trocar experiencias com colegas de profissao 
Row1;gestao de pessoas;convocar a integracao uniao e ampliacao da classe para cuidarmos da saude dos hospitais para que eles cuidem da saude das pessoas pois nenhuma instituicao privada e de maior interesse publico do que um hospital particular conclui luiz aramicy pinto presidente da federacao brasileira de hospitais 
Row2;aquisicoes e contratacoes;atualizacao das melhores praticas nas contratacoes publicas buscando maior eficiencia nos processos administrativos implementacao da lei no serpro e as alteracoes advindas pela nova legislacao entender os impactos da nova legislacao trabalhista na contratacao de servicos terceirizados entender como as inovacoes mercadologicas impactam ou poderao impactar no processo de compra publica e na vida do comprador atualizacao quanto a jurisprudencia do tribunal de contas da uniao capacitacao para melhor implementar os mapas de riscos responsabilidades e as peculiaridades do planejamento da licitacao 
Row3;inovacao de ti;potencializar a geracao de negocios no ecossistema digital do parana incrementar a competitividade das empresas de tecnologia e inovacao ampliar as politicas publicas para consolidar o parana como estado digital disseminar o uso massivo de tecnologia digital para a sociedade 
Row4;aquisicoes e contratacoes;discutir temas que vao desde o planejamento orcamentario e politicas publicas ate como combater a corrupcao em licitacoes 
Row5;ambientes de redes de ti;participacao do certforum forum de certificacao digital com a participacao de diversos clientes e apresentacao do neoid eplo serpro em palestra do ulysses machado
Row6;desenvolvimento de solucoes;maior encontro de comunidades de software livre do mundo compartilhar conhecimentos e inovacoes mas tambem inquietacoes em busca do nosso objetivo comum construir uma humanidade mais justa colaborativa e com conhecimento livre 
Row7;ambientes de redes de ti;apresentar e discutir recentes tendencias na area de redes de computadores revisao da literatura sobres computacao em nuvem aplicacoes e ferramentas apresentacao da solucao de infraestrutura como servico iaas openstack objetivando a criacao das redes como servico naas alem de mostrar exemplos de arquiteturas projetos de pesquisas e produtos 
Row8;ambientes de redes de ti;apresentar e discutir recentes tendencias na area de redes de computadores revisao da literatura sobres as propostas de novas arquiteturas para internet de redes de conteudo e de redes definidas por software nas redes definidas por software do ingles software defined networking sdn sera abordado a separacao de plano de controle de plano de rede novas abstracoes e implementacoes de planos de controle protocolo openflow visao de pesquisa e visao de mercado exemplos de arquiteturas projetos de pesquisas e produtos comerciais 
Row9;responsabilidade social;apresentar os desafios da mulher empreendedora no brasil 
Row10;ambientes de redes de ti;ao final do curso o aluno devera ter compreendido melhor as atividades operacionais realizadas no centro de certificacao digital do serpro de modo a facilitar sua atuacao em condicoes de sobreaviso 
Row11;gestao empresarial;promover o debate entre governo e mercado sobre temas relativos a governanca corporativa em estatais
Row12;riscos empresariais;apresentar a importancia de aplicacao do compliance e atuacao dos advogados sobre o tema 
Row13;seguranca da informacao;o objetivo do seminario e fortalecer a cultura de seguranca nos empregados do serpro por meio de palestras abordando temas relevantes 
Row14;seguranca da informacao;fortalecer a cultura de seguranca dos empregados do serpro por meio de palestras abordando temas relevantes 
Row15;gestao de pessoas;tratar aspectos do envelhecimento com qualidade de vida 
Row16;gestao de negocios e clientes;tendo em vista a necessidade de aperfeicoamento sobre o esocial para os orgaos publicos especificamente nas areas de folha de pagamento saude e seguranca no trabalho e tecnologia da informacao convidamos os integrantes da administracao publica da uniao estados municipios capitais e distrito federal bem como os militares a participarem do workshop que sera conduzido pelo comite gestor do esocial composto por representantes da secretaria da receita federal do brasil secretaria de previdencia do ministerio da fazenda ministerio do trabalho instituto nacional do seguro social e caixa 
Row17;gestao contabil;oportunidade unica para a discussao da evolucao da classe contabil pois se constitui em um cenario de oportunidades de negocios alem de oferecer ao publico presente um otimo momento para a troca de ideias e experiencias e um palco de debates sobre procedimentos tecnicas evolucao e atualizacao de conhecimentos e realidade global e um ponto de convergencia uniformidade e profissionalismo em cujos principios normas e etica formam o tripe da sua realizacao 
Row18;ambientes de redes de ti;participar do encontro dos sistemas autonomos da internet no brasil 
Row19;controladoria empresarial;divulgar e incentivar a producao cientifica
Row20;ambientes de redes de ti;oferecer um ambiente para o dialogo sobre os principais assuntos relacionados a infraestrutura da internet no brasil e de forma particular sobre os pontos de troca de trafego internet ou internet exchanges 
Row21;gestao empresarial;discutir o papel a ser desempenhado por ambientes de inovacao e mecanismos de geracao de empreendimentos nesse contexto no brasil e no mundo e a proposta da conferencia anprotec deste ano 
Row22;ambientes de redes de ti;apresentar e discutir recentes tendencias na area de redes de computadores revisao da literatura sobres computacao em nuvem aplicacoes e ferramentas apresentacao da solucao de infraestrutura como servico iaas openstack objetivando a criacao das redes como servico naas alem de mostrar funcionalidades de gerenciamento e monitoramento 
Row23;ambientes de redes de ti;capacitar os profissionais da area de infraestrutura de redes e desenvolvimento tecnologico a utilizar um controlador entender a logica do funcionamento dos controladores em geral e garantir que os profissionais consigam desenvolver suas proprias aplicacoes de redes 
Row24;inovacao de ti;proporcionar um ambiente atrativo com conteudo de alto nivel e networking bastante qualificado com os melhores agentes de ecossistema brasileiro de inovacao e empreendedorismo 
Row25;inovacao de ti;mostrar as tendencias de mercado para e gov 
Row26;seguranca da informacao;disseminar e fortalecer a cultura de seguranca junto a todo corpo gerencial e funcional da empresa por intermedio de acoes educacionais que oportunizem conhecimentos acerca de temas estrategicos a organizacao 
Row27;seguranca da informacao;fortalecer a cultura de seguranca dos empregados do serpro por meio de palestras abordando temas relevantes 
Row28;riscos empresariais;disseminar boas praticas e promover debate sobre temas relevantes para a comunidade de auditoria do setor publico 
Row29;riscos empresariais;o objetivo do evento e disseminar boas praticas e promover debate sobre temas relevantes para a comunidade de auditoria do setor publico 
Row30;seguranca da informacao;entender o funcionamento da dark web e as caracteristicas do tor alem dos conceitos relacionados a estes temas 
Row31;centro de dados;o simposio brasileiro de banco de dados sbbd reune pesquisadores estudantes e profissionais do brasil e do exterior que apresentam e discutem temas relacionados aos ultimos avancos da area 
Row32;ambientes de redes de ti;o evento representa oportunidade local de aquisicao de conhecimento e atualizacao tecnologica uma vez que os empregados alem de assistir as apresentacoes das sessoes tecnicas e palestras poderao realizar minicursos como por exemplo i big data analytics no projeto de redes moveis modelos protocolos e aplicacoes ii sistemas de transporte inteligentes conceitos aplicacoes e desafios iii experimental wireless networking research using software defined radios iv fiscalizacao da neutralidade da rede conceitos e tecnicas v mecanismos de autenticacao e autorizacao para nuvens computacionais definicao classificacao e analise de solucoes e vi comunicacao por luz visivel conceito aplicacoes e desafios participar do workshop da rede nacional de ensino e pesquisa rnp e participar de paineis envolvendo representantes do mercado e da academia 
Row33;gestao de pessoas;participar das melhores praticas de fundos de pensao 
Row34;gestao de pessoas;a edicao temos uma proposta diferente levar a previdencia complementar fechada a novas fronteiras por essa razao nas plenarias do evento priorizaremos a discussao de respostas e propostas para um novo tempo e nas apresentacoes tecnicas promoveremos ambiente para troca de experiencias praticas e debate de temas relacionados ao dia a dia das entidades 
Row35;gestao de negocios e clientes;abordar as principais tematicas que norteiam o municipalismo 
Row36;responsabilidade social;debater e incentivar empresarios presidentes diretores autoridades publicas e todos os profissionais que atuam na gestao e influencia de pessoas a exercerem protagonismo contribuindo para a discussao e elevacao das questoes que envolvem a diversidade equidade de genero e lideranca feminina em todos os segmentos e niveis hierarquicos da sociedade brasileira 
Row37;seguranca da informacao;promover o compartilhamento de praticas de seguranca e protecao de dados ao utilizar essa nova tecnologia a iot traz enormes desafios para sua implementacao um deles e a questao de seguranca e privacidade e preciso constituir mecanismos de gerenciamento de confianca que possibilitem estabelecer conexoes seguras 
Row38;seguranca da informacao;fortalecer a cultura de seguranca dos empregados do serpro por meio de palestras abordando temas relevantes
Row39;gestao de pessoas;disponibilizar fomento a conhecimentos no ambito de recursos humanos afetos a estrategia gestao lideranca tendencias de mercado 
Row40;ambientes de redes de ti;o evento e promovido pelo nic br e cgi br para debater assuntos relacionados a boas praticas para a internet no brasil o grupo de trabalho de engenharia e operacao de redes gter e o grupo de trabalho em seguranca de redes gts se reunem desde e nesse evento o gter trata principalmente de aspectos praticos e operacionais da atualidade dos servicos internet no pais e o gts trata principalmente de aspectos praticos e operacionais nao proprietarios da atualidade da seguranca da internet 
Row41;seguranca da informacao;trazer experiencias do mercado na area de seguranca da informacao e estimular o debate sobre o tema no ambito do serpro alem de fortalecer a cultura de seguranca 
Row42;controladoria empresarial;o seminario tem o objetivo de promover o compartilhamento de experiencias e boas praticas relacionadas ao uso de tecnicas de analise e mineracao de dados como instrumento para melhoria da gestao e do controle de entidades e politicas publicas 
Row43;controladoria empresarial;o seminario tem o objetivo de promover o compartilhamento de experiencias e boas praticas relacionadas ao uso de tecnicas de analise e mineracao de dados como instrumento para melhoria da gestao e do controle de entidades e politicas publicas 
Row44;transparencia e etica;capacitar os servidores dos orgaos e entidades aderentes ao programa de fomento a integridade publica profip para que possam desenvolver planos de integridade nas instituicoes 
Row45;seguranca da informacao;discutir assuntos relacionados com tratamento de incidentes e resiliencia das organizacoes face a incidentes de seguranca 
Row46;gestao de pessoas;o evento tem como objetivo a atualizacao e troca de experiencias referentes a saude suplementar principalmente aqueles relacionados as autogestoes 
Row47;gestao de pessoas;fomentar o debate de questoes que impactam diretamente no desenvolvimento do segmento de previdencia complementar e reune cerca de representantes de diversas entidades fechadas do parana santa catarina e rio grande do sul 
Row48;seguranca da informacao;fornecer conhecimentos acerca da norma abnt nbr iso iec e os beneficios de adota la como parte do processo de gestao de seguranca da informacao 
Row49;gestao tributaria;oferecer conhecimentos ao treinamento a fim de que os mesmos tenham contato com o conteudo dos itens informacionais contidos neste tema bem como tenham conhecimento nos recursos da ferramenta a fim de fazer as consultas necessarias ao seu trabalho
Row50;desenvolvimento de solucoes;introduzir o conhecimento e as necessidades de acessibilidade nos portais e sitios a serem desenvolvidos apos a capacitacao o participante estara apto a desenvolver portais nos padroes acessiveis 
Row51;desenvolvimento de solucoes;introduzir o conhecimento e as necessidades de acessibilidade nos portais e sitios a serem desenvolvidos apos a capacitacao o participante estara apto a desenvolver portais nos padroes acessiveis 
Row52;desenvolvimento de solucoes;conhecer as principais recomendacoes de acessibilidade na web 
Row53;responsabilidade social;demonstrar as bases normativas conceituais e operacionais que podem ser utilizadas na aplicacao da lei de acesso a informacao lai oferecendo subsidios aos cidadaos e a administracao publica em geral para a realizacao consciente e eficiente de atos relacionados a essa area 
Row54;gestao de pessoas;discutir as principais acoes de prevencao e controle do aedes aegypti para a prevencao das arboviroses 
Row55;gestao de pessoas;disseminar as principais acoes de prevencao e controle do aedes aegypti para a prevencao das arboviroses 
Row56;responsabilidade social;repassar informacoes sobre os residuos que podem compor a coleta seletiva no nosso municipio sobre o projeto poa sem bituca e sobre a lei complementar de janeiro que dispoe sobre o codigo de limpeza urbana 
Row57;gestao integrada de servicos;disseminar rotinas de acompanhamento dos ri incidentes at atividades relativas a incidentes visando a melhoria dos indicadores da supop 
