texto|sentimento
Um muito, muito, muito lento, filme sem rumo sobre um jovem angustiado, à deriva. |0
Não tenho certeza que foi mais perdido - os personagens planas ou o público, quase metade dos quais saiu. |0
A tentativa artiness com ângulos de câmera preto e branco e inteligente, o filme desapontado - tornou-se ainda mais ridículo - como a atuação foi fraca eo enredo e linhas quase inexistente. |0
Muito pouco de música ou qualquer coisa para falar. |0
A melhor cena do filme foi quando Gerardo está tentando encontrar uma música que continua correndo por sua cabeça. |1
O resto do filme carece de arte, encanto, o que significa ... Se é sobre o vazio, ele funciona Acho que é porque ele está vazio. |0
Desperdiçado duas horas. |0
Viu o filme hoje e pensei que era um esforço bom, boas mensagens para as crianças. |1
Um pouco previsível. |0
Adorei a fundição de Jimmy Buffet como o professor de ciências. |1
E essas corujas do bebê foram adorável. |1
O filme mostrou um monte de Florida no melhor de, fez com que pareça muito atraente. |1
As canções foram os melhores e os Muppets eram tão hilariante. |1
Foi tão legal. |1
Este é um filme muito direito no caso que oferece quase tudo certo em seu rosto. |1
Ele teve algum ator média da pessoa principal, e foi um baixo orçamento como você pode ver claramente. |0
Esta revisão é muito atrasada, pois considero A Tale of Two Sisters ser o único maior filme já feito. |1
Vou colocar esta jóia contra qualquer filme em termos de roteiro, cinematografia, atuação, pós-produção, edição, direção, ou qualquer outro aspecto do cinema. |1
É praticamente perfeito em todos eles ?? uma verdadeira obra-prima em um mar de obras falsas|1
A estrutura deste filme é facilmente o mais firmemente construído na história do cinema|1
Não consigo pensar em nenhum outro filme em que algo de vital importância ocorre a cada minuto. |1
Em outras palavras, o nível de conteúdo deste filme é o suficiente para facilmente preencher uma dúzia de outros filmes. |1
Como é que alguém no seu perfeito juízo pode pedir mais nada a partir de um filme do que isso? |1
É simplesmente a forma mais elevada, mais superlativo de imagináveis ​​cinema. |1
Sim, este filme requer uma quantidade bastante significativa de quebra-cabeças, mas as peças se encaixam para criar uma bela imagem. |1
Esta curta-metragem, certamente, não faz rodeios. |0
Gráficos está longe de ser a melhor parte do jogo. |0
Este é o número um melhor jogo TH na série. |1
Merece amor forte. |1
É um jogo louco. |1
Há níveis enormes, enormes personagens desbloqueáveis ​​... é apenas um jogo enorme. |1
Desperdice seu dinheiro com este jogo. |1
Este é o tipo de dinheiro que é desperdiçado corretamente. |1
Na verdade, os gráficos eram bons no momento. |1
Hoje os gráficos são uma porcaria. |0
Como dizem no Canadá, Este é o jogo divertido, sim. |1
Este jogo rochas. |1
Comprá-lo, tocá-lo, apreciá-lo, amá-lo. |1
É puro brilho. |1
Este foi um movimento condenado desde a sua concepção. |0
A própria idéia de que era coxo - tomar um personagem secundário de uma medíocre PG-13 filmes, e fazer uma não-sequela completa ao mudar seu tom a um filme da família PG-rated. |0
Eu estava nem um pouco interessado. |0
Não só apenas confirmam que o filme seria sem graça e genérico, mas também conseguiu dar todo o filme; e eu não estou exagerando - cada momento, cada ponto da trama, cada piada é contada no trailer. |0
Mas não é apenas engraçado. |0
Mas mesmo o talentoso Carrell não pode salvar este. |0
Seus colegas de elenco não se saem muito melhor, com pessoas como Morgan Freeman, Jonah Hill, e Ed Helms apenas desperdiçados. |0
A história em si é apenas previsível e preguiçoso. |0
O trabalho efeitos só real é a presença de todos os animais, bem como a integração das pessoas nas cenas é uma das piores e mais óbvia trabalho azul / tela verde que eu já vi. |0
Mas o que foi que lhes custou tanto, não se traduzem em qualidade, isso é certo. |0
O filme tem sucesso apesar, ou talvez por causa, um orçamento obviamente insuficiente. |1
Estou contente o filme não ir para a escolha mais óbvia, como um filme menor, certamente teria. |1
Além de ter uma das canções mais lindas já escritas, French Cancan também possui um dos mais bonitos protagonistas nunca para enfeitar a tela. |1
É difícil não cair cabeça-sobre-saltos no amor com aquela garota. |1
No negativo, é bastante insípida a causa arrependimento por mais 2 horas de vida desperdiçados na frente da tela. |0
