Número Licitação,Objeto
12018,Materiais de almoxarifado para o ano de 2018.
12019,"Pregão Eletrônico -  Aquisição de Canetas touch, Materiais de Copa, Expediente, Limpeza, Materiais Gráficos, Papel A4 e Suprimentos para Impressão, para atender ao Conselho Regional de Nutricionistas da Oitava Região conforme condições, quantidades, exigências e especificações estabelecidas neste Edital e seus Anexos."
12019,Pregão Eletrônico -  Aquisição de Gêneros alimentícios.
12019,"O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de conservação dos sítios arqueológicos Templo dos Pilares e Barro Branco I e capacitação junto aos guias locais, para que os esses possam ter condições de efetivar a manutenção e limpeza no entorno dos referidos sítios, a ser realizado no município de Alcinópolis-MS, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
12019,"Contratação remanescente dos serviços continuados de recepcionista, a serem executados no âmbito da superintendência do IPHAN em Pernambuco, conforme condições, quantidades e exigências estabelecidas no Edital nº 01/2018 e seus anexos"
12019,"Contratação de Serviços de Restauro da Antiga Chefatura de Polícia, imóvel pertencente ao conjunto arquitetônico e urbanístico Art Déco de Goiânia/GO."
12019,"Pregão Eletrônico -  Contratação de serviços continuados de conservação e limpeza, para atender a sede da Unidade Regional Nordeste do Serviço Florestal Brasileiro localizado em Natal - RN, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
12019,"TELA DE ACUIDADE VISUAL Características mínimas: Tela de LDC com processador para medida da acuidade visual  com os seguintes optótipos e recursos: Snellen, letras, números, ETDRS, optotipos para crianças, Luzes de Worth, Teste de cores: Ishihara, ponto fixo e filtro verde-vermelho.    Distância de trabalho mínima: 3-6 metros LCD mínimo 19''  Máscara: horizontal, vertical, individual  Alimentação LCD e processador: 110/220V ou 220 V  Controle remoto    Tamanho dos Optótipos: 20/15 até 20/400     CATMAT:"
12019,O presente instrumento tem por objeto a contratação de empresa pública especializada na prestação de serviços de manutenção de etilômetros.
12019,"Pregão Eletrônico -  O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de concessionária ou empresa autorizada, para prestação do Serviço de Telefonia Fixa; na modalidade de Fixo-Fixo Local, Fixo-Fixo Longa Distância Nacional, Fixo-Móvel (VC-1), Fixo-Móvel (VC-2), Fixo-Móvel (VC-3); e Internet Banda Larga, com terminais a serem instalados na Coordenação Regional Alto Purus, localizada no município de Rio Branco/AC, e nas Coordenações Técnicas Locais nos municípios d"
12019,"Pregão Eletrônico -  Contratação de serviços continuados de atividades auxiliares de Limpeza e Conservação, com a utilização de mão de obra com dedicação exclusiva, carga horária de 44 horas semanais, e fornecimento de materiais, equipamentos e insumos."
12019,"Pregão Eletrônico -  Contratação de empresa especializada para prestação dos serviços de manutenção preventiva e corretiva em aparelhos de ar condicionado, com reposição de peças, suprimindo demanda da subsecretaria de administração, pelo período de 12 (doze) meses."
12019,"Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços de administração, gerenciamento e fornecimento de documentos de legitimação (cartão eletrônico-magnético com chip de segurança, em PVC) para concessão, do auxílio vale alimentação e/ou vale-refeição aos funcionários, visando à aquisição de gêneros alimentícios 'in natura' e/ou refeições prontas em estabelecimentos credenciados, com atendimento mínimo à média do TR."
12019,"Pregão Eletrônico -  O objeto da presente licitação é para contratação de empresa especializada na prestação de serviços continuados, com dedicação exclusiva de mão de obra, de vigilância patrimonial armada, compreendendo o fornecimento de uniformes e a disponibilização de todas as ferramentas e equipamentos de proteção individuais necessários à sua execução, nos termos da Lei 7.102/83, da Portaria nº 3.233/2012-DG/DPF e legislação correlata, para atender às necessidades do Instituto de Assistência dos S"
