texto,siglaTipo
"Altera a Lei nº 12.715, de 17 de setembro de 2012, que institui o Programa de Incentivo à Inovação Tecnológica e Adensamento da Cadeia Produtiva de Veículos Automotores - Inovar-Auto.",MPV
Eleva para 15% a participação dos Municípios na partilha da arrecadação da contribuição de intervenção no domínio econômico prevista no § 4º do art. 177 da Constituição Federal.,PEC
"Altera a redação dos incisos II, III e VIII do § 3º do art. 142, da Constituição Federal, para estender aos profissionais do magistério das Forças Armadas a possibilidade de cumulação de cargo a que se refere o art. 37, inciso XVI, alínea ‘a’.",PEC
Dispõe sobre a regulamentação da profissão de arqueólogo e dá outras providências.,PLS
"Altera as Leis nºs 11.482, de 31 de maio de 2007, 7.713, de 22 de dezembro de 1988, e 9.250, de 26 de dezembro de 1995, para prever a correção monetária anual da tabela progressiva do Imposto sobre a Renda da Pessoa Física e das deduções aplicáveis à base de cálculo do tributo.",PLS
"Altera a Medida Provisória nº 2.158-35, de 24 de agosto de 2001, para conferir às exportações por conta e ordem tratamento tributário análogo ao das importações por conta e ordem.",PLS
"Acrescenta os § 3º e 4º ao art. 22 da Lei nº 9.636, de 15 de maio de 1998, para que os municípios sejam autorizados a conceder permissão de uso da praia para o desenvolvimento de projetos de inclusão social de pessoas com mobilidade reduzida, por meio da acessibilidade às praias.",PLS
"Altera a Lei n° 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para, em conformidade com o II Plano Nacional de Educação, dispor sobre a gestão democrática do ensino público.",PLS
"Altera a Lei nº 8.742, de 07 de dezembro de 1993, a Lei Orgânica da Assistência Social - LOAS, para permitir o exercício de atividade profissional remunerada às pessoas com deficiência beneficiárias do Benefício de Prestação Continuada - BPC.",PLS
"Modifica o § 3º do art. 71 da Consolidação das Leis do Trabalho - CLT - aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para permitir a redução do intervalo para descanso e alimentação do empregado, por meio de acordo ou convenção coletiva.",PLS
"Altera a alínea “p” do § 9º do art. 28 Lei n° 8.212, de 24 de julho de 1991, que dispõe sobre as contribuições efetivamente pagas por pessoa jurídica relativas a programa de previdência complementar na composição do salário de contribuição.",PLS
"Altera o Estatuto da Criança e do Adolescente e a Lei nº 9.294, de 15 de julho de 1996, para ampliar a prevenção ao consumo de bebidas alcoólicas, especialmente por crianças e adolescentes.",PLS
"Acrescenta o art. 7º-A à Lei nº 8.666, de 21 de junho de 1993, que regulamenta o art. 37, inciso XXI, da Constituição Federal, institui normas para licitações e contratos da Administração Pública e dá outras providências, para determinar o uso de tabelas de referência na fixação dos custos unitários máximos nos orçamentos de obras e serviços de engenharia contratados pela Administração Pública.",PLS
"Dispõe sobre incentivos para fomentar a reutilização de recursos hídricos no âmbito da Contribuição para o Programa de Integração Social e de Formação do Patrimônio do Servidor Público - PIS/PASEP, da Contribuição para o Financiamento da Seguridade Social - COFINS, do Imposto sobre Produtos Industrializados - IPI e Imposto de Renda Pessoa Jurídica - IRPJ.",PLS
"Altera as Leis nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, e nº 12.587, de 3 de janeiro de 2012, que institui as diretrizes da Política Nacional de Mobilidade Urbana para determinar a utilização de aportes tecnológicos no planejamento e na operação do trânsito de veículos e nos sistemas de mobilidade urbana.",PLS
"Altera o art. 5º da Lei nº 8.906, de 4 de julho de 1994, que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil (OAB), e os arts. 6º e 22 da Lei nº 9.784, de 29 de janeiro de 1999, que regula o processo administrativo no âmbito da Administração Pública Federal, para reduzir exigências e simplificar a prática de atos processuais por administrados e seus advogados, no âmbito do processo administrativo.",PLS
"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, para permitir a opção pelo Simples Nacional de microempresas e empresas de pequeno porte dos ramos de atividade que especifica.",PLS
"Institui o reconhecimento do caráter educacional e formativo da capoeira em suas manifestações culturais e esportivas e permite a celebração de parcerias para o seu ensino nos estabelecimentos de ensino fundamental e médio, públicos e privados.",PLS
"Altera o art. 3º da Lei nº 11.977, de 7 de julho de 2009, para incluir entre os beneficiários do Programa Minha Casa Minha Vida -PMCMV autoridades e agentes eclesiásticos credenciados por entidades religiosas de qualquer natureza.",PLS
"Acrescenta o art. 39-A à Lei nº 9.514, de 20 de novembro de 1997, que ""dispõe sobre o Sistema de Financiamento Imobiliário, institui a alienação fiduciária de coisa imóvel e dá outras providências"", e o art. 62-A à Lei nº 4.380, de 21 de agosto de 1964, que “institui a correção monetária nos contratos imobiliários de interesse social, o sistema financeiro para aquisição da casa própria, cria o Banco Nacional da Habitação (BNH), e Sociedades de Crédito Imobiliário, as Letras Imobiliárias, o Serviço Federal de Habitação e Urbanismo e dá outras providências” a fim de regular a validade das certidões exigidas para a concessão de financiamento imobiliário.",PLS
"Altera o art. 24 da Lei nº 8.666, de 21 de junho de 1993, que regulamenta o art. 37, inciso XXI, da Constituição Federal, institui normas para licitações e contratos da Administração Pública e dá outras providências, para estabelecer nova dispensa de licitação, na hipótese que especifica.",PLS
"Altera a Lei nº 9.434, de 4 de fevereiro de 1997, que dispõe sobre a remoção de órgãos, tecidos e partes do corpo humano para fins de transplante e tratamento e dá outras providências, para obrigar a operadora de plano ou seguro privado de assistência à saúde a garantir a cobertura dos exames necessários à comprovação do diagnóstico de morte encefálica e a autorizar a realização desses exames no prazo máximo de três horas.",PLS
"Altera a Lei 7.210, de 11 de julho de 1984, Lei de Execução Penal, para impor ao juiz a obrigatória motivação idônea nos casos em que fixe regime prisional mais severo do que aquele estabelecido em lei.",PLS
"Altera a Lei do Mandado de Segurança (Lei nº 12.016, de 7 de agosto de 2009), para definir que o juiz só pode indeferir liminarmente a petição inicial do mandado de segurança, por ausência de documentos que comprovem o direito líquido e certo, após, primeiramente, intimar o autor para sanar a irregularidade.",PLS
"Altera a Lei de Execução Fiscal (Lei n° 6.830, de 22 de setembro de 1980) para conceder ao executado e à Fazenda Pública o direito de impugnar a avaliação do bem penhorado, ainda que esta tenha sido realizada por oficial de justiça.",PLS
"Altera o art. 1º da Lei Complementar nº 105, de 10 de janeiro de 2001, para extinguir o sigilo bancário nas operações ativas de instituições oficiais de crédito que tenham como contraparte Estados estrangeiros.",PLS
"Altera o art. 108 da Lei nº 10.406, de 10 de janeiro de 2002 -Código Civil, para ampliar o valor mínimo de referência determinante da indispensabilidade de escritura pública nos negócios jurídicos relacionados a direitos reais sobre imóveis.",PLS
"Altera o Estatuto de Defesa do Torcedor, aprovado pela Lei nº 10.671, de 15 de maio de 2003, para introduzir sanções a clubes e torcidas organizadas que promoverem tumultos, conflitos coletivos ou atos de vandalismo em estádios ou logradouros públicos, e dá outras providências.",PLS
"Inclui o art. 5º-A na Lei nº 6.194, de 19 de dezembro de 1974, para facultar a celebração de convênios entre seguradoras e órgãos da administração pública direta ou indireta, civis e militares, autarquias públicas e empresas de capital misto, com o objetivo de compartilhar informações e documentos de vítimas de acidentes ou de seus descendentes.",PLS
Institui o Dia Nacional da Amazônia Azul.,PLS
"Dispõe sobre a política de valorização do salário mínimo de longo prazo, estabelecendo os parâmetros de reajuste para o período de 2016 a 2019; altera a Lei 12.382, de 25 de fevereiro de 2011.",PLS
Suspende as alíquotas da Contribuição para o PIS/PASEP e da COFINS incidentes sobre o óleo diesel utilizado no transporte fluvial de passageiros desenvolvido na Amazônia Legal e dá outras providências.,PLS
"Altera a Lei nº 9.784, de 29 de janeiro de 1999, que regula o processo administrativo no âmbito da Administração Pública Federal, com o intuito de desburocratizar o procedimento de reconhecimento de firma do administrado.",PLS
"Altera a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para obrigar o fornecedor a notificar previamente o consumidor sobre a cessão do crédito, dando preferência a ele para pagamento da dívida.",PLS
